"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2021","387.70","372.50","399.49","370.00","144.84K","3.39%"
"12/16/2021","374.99","380.00","384.49","370.51","108.95K","-2.41%"
"12/15/2021","384.25","373.49","386.88","371.00","285.92K","5.27%"
"12/14/2021","365.00","361.00","365.26","354.50","157.38K","2.10%"
"12/13/2021","357.50","377.98","377.98","357.50","52.64K","-4.92%"
"12/10/2021","376.00","380.00","389.00","376.00","152.71K","-2.34%"
"12/09/2021","385.00","382.50","392.50","377.50","202.90K","-0.02%"
"12/08/2021","385.08","389.00","399.49","376.00","150.17K","1.14%"
"12/07/2021","380.75","376.00","389.49","376.00","236.47K","2.07%"
"12/06/2021","373.02","363.70","379.95","356.00","288.15K","6.12%"
"12/03/2021","351.50","350.00","377.49","347.50","611.48K","-3.94%"
"12/02/2021","365.92","395.99","396.00","365.92","221.77K","-6.63%"
"12/01/2021","391.90","393.50","399.49","390.50","62.67K","-0.78%"
"11/30/2021","395.00","384.95","403.50","384.95","1.72M","3.67%"
"11/29/2021","381.02","379.99","388.50","373.51","319.69K","-0.52%"
"11/26/2021","383.01","372.50","386.00","372.50","164.93K","2.41%"
"11/25/2021","374.00","375.00","378.95","369.25","95.41K","1.36%"
"11/24/2021","369.00","356.00","375.00","352.50","403.18K","0.96%"
"11/23/2021","365.50","387.50","387.50","362.50","320.09K","-5.05%"
"11/22/2021","384.95","391.67","396.89","383.50","284.68K","-3.82%"
"11/19/2021","400.25","400.00","406.00","400.00","421.88K","0.06%"
"11/18/2021","400.00","409.12","410.90","392.55","552.82K","-1.60%"
"11/17/2021","406.50","403.50","411.25","400.15","795.48K","2.14%"
"11/16/2021","398.00","402.00","402.00","395.05","342.86K","3.04%"
"11/15/2021","386.26","380.05","414.00","380.05","280.23K","0.07%"
"11/12/2021","386.00","391.50","393.00","384.99","171.64K","-2.03%"
"11/11/2021","394.00","396.50","397.48","392.50","222.66K","-0.08%"
"11/10/2021","394.30","398.49","401.00","392.50","268.64K","0.08%"
"11/09/2021","394.00","397.50","402.50","383.00","453.03K","-0.88%"
"11/08/2021","397.50","390.25","404.99","390.25","624.90K","-0.38%"
"11/05/2021","399.00","403.95","404.00","396.50","236.06K","-0.75%"
